Texto,Intencao
remarcar consulta,remarcar_consulta
remarcar minha consulta,remarcar_consulta
remarcar a data da consulta,remarcar_consulta
remarcar uma consulta,remarcar_consulta
Quero  mudar  o  dia  da  minha consulta,remarcar_consulta
Como posso adiar a consulta agendada,remarcar_consulta
É possível reagendar minha consulta,remarcar_consulta
Posso mudar o dia da  minha consulta,remarcar_consulta
Preciso antecipar minha consulta,remarcar_consulta
Podem alterar a data da minha consulta,remarcar_consulta
Gostaria de mover minha consulta marcada,remarcar_consulta
Posso alterar o dia da minha consulta,remarcar_consulta
necessito antecipar minha consulta.,remarcar_consulta
Queria perguntar se posso adiantar minha consulta,remarcar_consulta
"Por favor, preciso reagendar a consulta",remarcar_consulta
Gostaria de mudar a data da minha consulta,remarcar_consulta
Quero remarcar minha consulta,remarcar_consulta
Como faco pra remarcar a consulta,remarcar_consulta
Tem como remarcar a consulta,remarcar_consulta
Quero adiar a minha consulta,remarcar_consulta
Quero adiantar a minha consulta,remarcar_consulta
Como faco para adiar a minha consulta,remarcar_consulta
mudar o dia da consulta,remarcar_consulta
adiar a consulta,remarcar_consulta
adiantar a consulta,remarcar_consulta
remarcar a consulta,remarcar_consulta
reagendar minha consulta,remarcar_consulta
Quero mudar o dia da minha consulta,remarcar_consulta
Quero alterar o dia da minha consulta,remarcar_consulta
Quero trocar o dia da minha consulta,remarcar_consulta
Posso adiar a consulta agendada,remarcar_consulta
Como posso adiar a consulta agendada,remarcar_consulta
É possível reagendar minha consulta,remarcar_consulta
Posso mudar o dia da minha consulta,remarcar_consulta
Posso alterar o dia da minha consulta,remarcar_consulta
Posso trocar o dia da minha consulta,remarcar_consulta
Desejo antecipar minha consulta,remarcar_consulta
Como posso antecipar minha consulta,remarcar_consulta
Preciso antecipar minha consulta,remarcar_consulta
Posso adiar a consulta agendada,remarcar_consulta
Como posso adiar a consulta agendada,remarcar_consulta
É possível reagendar minha consulta,remarcar_consulta
Posso alterar o dia da minha consulta,remarcar_consulta
Posso mudar a data da minha consulta,remarcar_consulta
Posso reagendar minha consulta,remarcar_consulta
Como posso trocar a data da minha consulta,remarcar_consulta
Posso alterar o horário da minha consulta,remarcar_consulta
É possível adiar minha consulta,remarcar_consulta
Como posso reagendar minha consulta,remarcar_consulta
Como posso mudar a consulta agendada?,remarcar_consulta
É viável mudar a minha consulta ?,remarcar_consulta
Como posso reagendar minha consulta?,remarcar_consulta
Posso mudar a hora da minha consulta?,remarcar_consulta
É possível adiar a consulta?,remarcar_consulta
Posso mudar a data da minha consulta,remarcar_consulta
Como posso trocar o dia da minha consulta ?,remarcar_consulta
Como posso adiar minha consulta marcada ?,remarcar_consulta
Posso reagendar minha consulta para outra data?,remarcar_consulta
É possível alterar o horário da minha consulta?,remarcar_consulta
Como posso mudar a data da minha consulta ?,remarcar_consulta
Posso adiar minha consulta ?,remarcar_consulta
Posso ajustar o horário da minha consulta ?,remarcar_consulta
Como posso mudar minha consulta para outra data?,remarcar_consulta
Posso mudar a minha consulta,remarcar_consulta
